philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,17:45-18:00,0,0,0,0,39,,0,0,0,,62,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,18:00-18:15,0,0,0,0,45,,0,0,0,,44,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,18:15-18:30,0,0,0,0,34,,0,0,0,,57,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:2
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,18:30-18:45,0,0,0,0,37,,0,0,0,,45,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,18:45-19:00,0,0,0,0,35,,0,0,0,,32,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,20:00-20:15,0,0,0,0,57,,0,0,0,,45,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,20:15-20:30,0,0,0,0,49,,0,0,0,,42,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,20:30-20:45,0,0,0,0,39,,0,0,0,,54,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,20:45-21:00,0,0,0,0,50,,0,0,0,,50,0,0,0,0,0,,,,,,,Eastbound:Shuttles:1,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,21:00-21:15,0,0,0,0,37,,0,0,0,,45,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,21:15-21:30,0,0,0,0,36,,0,0,0,,47,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:1
